,r,p,t,I
141,2,1,22,50.0
142,2,1,23,50.0
143,2,1,24,50.0
144,2,1,25,50.0
145,2,1,26,50.0
146,2,1,27,50.0
147,2,1,28,50.0
148,2,1,29,50.0
149,2,1,30,50.0
150,2,2,1,50.0
151,2,2,2,50.0
152,2,2,3,50.0
153,2,2,4,50.0
154,2,2,5,50.0
155,2,2,6,50.0
156,2,2,7,50.0
157,2,2,8,50.0
158,2,2,9,50.0
159,2,2,10,50.0
160,2,2,11,50.0
161,2,2,12,50.0
162,2,2,13,50.0
163,2,2,14,50.0
164,2,2,15,50.0
165,2,2,16,50.0
166,2,2,17,50.0
167,2,2,18,50.0
168,2,2,19,50.0
169,2,2,20,50.0
170,2,2,21,50.0
171,2,2,22,50.0
172,2,2,23,50.0
173,2,2,24,50.0
174,2,2,25,50.0
175,2,2,26,50.0
176,2,2,27,50.0
177,2,2,28,50.0
178,2,2,29,50.0
179,2,2,30,50.0
180,2,3,1,50.0
181,2,3,2,50.0
182,2,3,3,50.0
183,2,3,4,50.0
184,2,3,5,50.0
185,2,3,6,50.0
186,2,3,7,50.0
187,2,3,8,50.0
188,2,3,9,50.0
189,2,3,10,50.0
190,2,3,11,50.0
191,2,3,12,50.0
192,2,3,13,50.0
193,2,3,14,50.0
194,2,3,15,50.0
195,2,3,16,50.0
196,2,3,17,50.0
197,2,3,18,50.0
198,2,3,19,50.0
199,2,3,20,50.0
200,2,3,21,50.0
201,2,3,22,50.0
202,2,3,23,50.0
203,2,3,24,50.0
204,2,3,25,50.0
205,2,3,26,50.0
206,2,3,27,50.0
207,2,3,28,50.0
208,2,3,29,50.0
209,2,3,30,50.0
210,2,4,1,50.0
211,2,4,2,50.0
212,2,4,3,50.0
213,2,4,4,50.0
214,2,4,5,50.0
215,2,4,6,50.0
216,2,4,7,50.0
217,2,4,8,50.0
218,2,4,9,50.0
219,2,4,10,50.0
220,2,4,11,50.0
221,2,4,12,50.0
222,2,4,13,50.0
223,2,4,14,50.0
224,2,4,15,50.0
225,2,4,16,50.0
226,2,4,17,50.0
227,2,4,18,50.0
228,2,4,19,50.0
229,2,4,20,50.0
230,2,4,21,50.0
231,2,4,22,50.0
232,2,4,23,50.0
233,2,4,24,50.0
234,2,4,25,50.0
235,2,4,26,50.0
236,2,4,27,50.0
237,2,4,28,50.0
238,2,4,29,50.0
239,2,4,30,50.0
